126 106
-0.646517 -4.29483 0
-0.646517 -4.28683 0
-0.646517 -4.27883 0
-0.646517 -4.27083 0
-0.646517 -4.26283 0
-0.646517 -4.25483 0
-0.646517 -4.24683 0
-0.646517 -4.23883 0
-0.646517 -4.23083 0
-0.646517 -4.22283 0
-0.646517 -4.21483 0
-0.646517 -4.20683 0
-0.646517 -4.19883 0
-0.646517 -4.19083 0
-0.646517 -4.18283 0
-0.646517 -4.17483 0
-0.646517 -4.16683 0
-0.646517 -4.15883 0
-0.646517 -4.15083 0
-0.646517 -4.14283 0
-0.646517 -4.13483 0
-0.646517 -4.12683 0
-0.646517 -4.11883 0
-0.646517 -4.11083 0
-0.646517 -4.10283 0
-0.646517 -4.09483 0
-0.646517 -4.08683 0
-0.646517 -4.07883 0
-0.646517 -4.07083 0
-0.646517 -4.06283 0
-0.646517 -4.05483 0
-0.646517 -4.04683 0
-0.646517 -4.03883 0
-0.646517 -4.03083 1
-0.646517 -4.02283 1
-0.646517 -4.01483 1
-0.646517 -4.00683 1
-0.646517 -3.99883 1
-0.646517 -3.99083 1
-0.646517 -3.98283 1
-0.646517 -3.97483 1
-0.646517 -3.96683 1
-0.646517 -3.95883 1
-0.646517 -3.95083 1
-0.646517 -3.94283 0
-0.646517 -3.93483 0
-0.646517 -3.92683 0
-0.646517 -3.91883 0
-0.646517 -3.91083 0
-0.646517 -3.90283 0
-0.646517 -3.89483 0
-0.646517 -3.88683 0
-0.646517 -3.87883 0
-0.646517 -3.87083 0
-0.646517 -3.86283 0
-0.646517 -3.85483 0
-0.646517 -3.84683 0
-0.646517 -3.83883 0
-0.646517 -3.83083 0
-0.646517 -3.82283 0
-0.646517 -3.81483 0
-0.646517 -3.80683 0
-0.646517 -3.79883 0
-0.646517 -3.79083 0
-0.646517 -3.78283 0
-0.646517 -3.77483 0
-0.646517 -3.76683 0
-0.646517 -3.75883 0
-0.646517 -3.75083 0
-0.646517 -3.74283 0
-0.646517 -3.73483 0
-0.646517 -3.72683 0
-0.646517 -3.71883 0
-0.646517 -3.71083 0
-0.646517 -3.70283 0
-0.646517 -3.69483 0
-0.646517 -3.68683 0
-0.646517 -3.67883 0
-0.646517 -3.67083 0
-0.646517 -3.66283 0
-0.646517 -3.65483 0
-0.646517 -3.64683 0
-0.646517 -3.63883 0
-0.646517 -3.63083 0
-0.646517 -3.62283 0
-0.646517 -3.61483 0
-0.646517 -3.60683 0
