126 106
-0.650888 3.44541 0
-0.650888 3.45341 0
-0.650888 3.46141 0
-0.650888 3.46941 0
-0.650888 3.47741 0
-0.650888 3.48541 0
-0.650888 3.49341 0
-0.650888 3.50141 0
-0.650888 3.50941 0
-0.650888 3.51741 0
-0.650888 3.52541 0
-0.650888 3.53341 0
-0.650888 3.54141 0
-0.650888 3.54941 0
-0.650888 3.55741 0
-0.650888 3.56541 0
-0.650888 3.57341 0
-0.650888 3.58141 0
-0.650888 3.58941 0
-0.650888 3.59741 0
-0.650888 3.60541 0
-0.650888 3.61341 0
-0.650888 3.62141 0
-0.650888 3.62941 0
-0.650888 3.63741 0
-0.650888 3.64541 0
-0.650888 3.65341 0
-0.650888 3.66141 0
-0.650888 3.66941 0
-0.650888 3.67741 0
-0.650888 3.68541 0
-0.650888 3.69341 0
-0.650888 3.70141 0
-0.650888 3.70941 0
-0.650888 3.71741 0
-0.650888 3.72541 0
-0.650888 3.73341 0
-0.650888 3.74141 0
-0.650888 3.74941 0
-0.650888 3.75741 0
-0.650888 3.76541 0
-0.650888 3.77341 0
-0.650888 3.78141 0
-0.650888 3.78941 0
-0.650888 3.79741 0
-0.650888 3.80541 0
-0.650888 3.81341 0
-0.650888 3.82141 0
-0.650888 3.82941 0
-0.650888 3.83741 0
-0.650888 3.84541 0
-0.650888 3.85341 0
-0.650888 3.86141 0
-0.650888 3.86941 0
-0.650888 3.87741 0
-0.650888 3.88541 0
-0.650888 3.89341 0
-0.650888 3.90141 0
-0.650888 3.90941 0
-0.650888 3.91741 0
-0.650888 3.92541 0
-0.650888 3.93341 0
-0.650888 3.94141 1
-0.650888 3.94941 1
-0.650888 3.95741 1
-0.650888 3.96541 1
-0.650888 3.97341 1
-0.650888 3.98141 1
-0.650888 3.98941 1
-0.650888 3.99741 1
-0.650888 4.00541 1
-0.650888 4.01341 1
-0.650888 4.02141 1
-0.650888 4.02941 0
-0.650888 4.03741 0
-0.650888 4.04541 0
-0.650888 4.05341 0
-0.650888 4.06141 0
-0.650888 4.06941 0
-0.650888 4.07741 0
-0.650888 4.08541 0
-0.650888 4.09341 0
-0.650888 4.10141 0
-0.650888 4.10941 0
-0.650888 4.11741 0
-0.650888 4.12541 0
-0.650888 4.13341 0
-0.650888 4.14141 0
-0.650888 4.14941 0
-0.650888 4.15741 0
-0.650888 4.16541 0
-0.650888 4.17341 0
-0.650888 4.18141 0
-0.650888 4.18941 0
-0.650888 4.19741 0
-0.650888 4.20541 0
-0.650888 4.21341 0
-0.650888 4.22141 0
-0.650888 4.22941 0
-0.650888 4.23741 0
-0.650888 4.24541 0
-0.650888 4.25341 0
-0.650888 4.26141 0
-0.650888 4.26941 0
-0.650888 4.27741 0
-0.650888 4.28541 0
-0.642888 3.44541 0
-0.642888 3.45341 0
-0.642888 3.46141 0
-0.642888 3.46941 0
-0.642888 3.47741 0
-0.642888 3.48541 0
-0.642888 3.49341 0
-0.642888 3.50141 0
-0.642888 3.50941 0
-0.642888 3.51741 0
-0.642888 3.52541 0
-0.642888 3.53341 0
-0.642888 3.54141 0
-0.642888 3.54941 0
-0.642888 3.55741 0
-0.642888 3.56541 0
-0.642888 3.57341 0
-0.642888 3.58141 0
-0.642888 3.58941 0
-0.642888 3.59741 0
-0.642888 3.60541 0
-0.642888 3.61341 0
-0.642888 3.62141 0
-0.642888 3.62941 0
-0.642888 3.63741 0
-0.642888 3.64541 0
-0.642888 3.65341 0
-0.642888 3.66141 0
-0.642888 3.66941 0
-0.642888 3.67741 0
-0.642888 3.68541 0
-0.642888 3.69341 0
-0.642888 3.70141 0
-0.642888 3.70941 0
-0.642888 3.71741 0
-0.642888 3.72541 0
-0.642888 3.73341 0
-0.642888 3.74141 0
-0.642888 3.74941 0
-0.642888 3.75741 0
-0.642888 3.76541 0
-0.642888 3.77341 0
-0.642888 3.78141 0
-0.642888 3.78941 0
-0.642888 3.79741 0
-0.642888 3.80541 0
-0.642888 3.81341 0
-0.642888 3.82141 0
-0.642888 3.82941 0
-0.642888 3.83741 0
-0.642888 3.84541 0
-0.642888 3.85341 0
-0.642888 3.86141 0
-0.642888 3.86941 0
-0.642888 3.87741 0
-0.642888 3.88541 0
-0.642888 3.89341 0
-0.642888 3.90141 0
-0.642888 3.90941 0
-0.642888 3.91741 0
-0.642888 3.92541 0
-0.642888 3.93341 0
-0.642888 3.94141 1
-0.642888 3.94941 0
-0.642888 3.95741 0
-0.642888 3.96541 0
-0.642888 3.97341 1
-0.642888 3.98141 0
-0.642888 3.98941 1
-0.642888 3.99741 0
-0.642888 4.00541 1
-0.642888 4.01341 1
-0.642888 4.02141 0
-0.642888 4.02941 0
-0.642888 4.03741 0
-0.642888 4.04541 0
-0.642888 4.05341 0
-0.642888 4.06141 0
-0.642888 4.06941 0
-0.642888 4.07741 0
-0.642888 4.08541 0
-0.642888 4.09341 0
-0.642888 4.10141 0
-0.642888 4.10941 0
-0.642888 4.11741 0
-0.642888 4.12541 0
-0.642888 4.13341 0
-0.642888 4.14141 0
-0.642888 4.14941 0
-0.642888 4.15741 0
-0.642888 4.16541 0
-0.642888 4.17341 0
-0.642888 4.18141 0
-0.642888 4.18941 0
-0.642888 4.19741 0
-0.642888 4.20541 0
-0.642888 4.21341 0
-0.642888 4.22141 0
-0.642888 4.22941 0
-0.642888 4.23741 0
-0.642888 4.24541 0
-0.642888 4.25341 0
-0.642888 4.26141 0
-0.642888 4.26941 0
-0.642888 4.27741 0
-0.642888 4.28541 0
-0.634888 3.44541 0
-0.634888 3.45341 0
-0.634888 3.46141 0
-0.634888 3.46941 0
-0.634888 3.47741 0
-0.634888 3.48541 0
-0.634888 3.49341 0
-0.634888 3.50141 0
-0.634888 3.50941 0
-0.634888 3.51741 0
-0.634888 3.52541 0
-0.634888 3.53341 0
-0.634888 3.54141 0
-0.634888 3.54941 0
-0.634888 3.55741 0
-0.634888 3.56541 0
-0.634888 3.57341 0
-0.634888 3.58141 0
-0.634888 3.58941 0
-0.634888 3.59741 0
-0.634888 3.60541 0
-0.634888 3.61341 0
-0.634888 3.62141 0
-0.634888 3.62941 0
-0.634888 3.63741 0
-0.634888 3.64541 0
-0.634888 3.65341 0
-0.634888 3.66141 0
-0.634888 3.66941 0
-0.634888 3.67741 0
-0.634888 3.68541 0
-0.634888 3.69341 0
-0.634888 3.70141 0
-0.634888 3.70941 0
-0.634888 3.71741 0
-0.634888 3.72541 0
-0.634888 3.73341 0
-0.634888 3.74141 0
-0.634888 3.74941 0
-0.634888 3.75741 0
-0.634888 3.76541 0
-0.634888 3.77341 0
-0.634888 3.78141 0
-0.634888 3.78941 0
-0.634888 3.79741 0
-0.634888 3.80541 0
-0.634888 3.81341 0
-0.634888 3.82141 0
-0.634888 3.82941 0
-0.634888 3.83741 0
