144 121
-0.649984 3.45077 0
-0.649984 3.45777 0
-0.649984 3.46477 0
-0.649984 3.47177 0
-0.649984 3.47877 0
-0.649984 3.48577 0
-0.649984 3.49277 0
-0.649984 3.49977 0
-0.649984 3.50677 0
-0.649984 3.51377 0
-0.649984 3.52077 0
-0.649984 3.52777 0
-0.649984 3.53477 0
-0.649984 3.54177 0
-0.649984 3.54877 0
-0.649984 3.55577 0
-0.649984 3.56277 0
-0.649984 3.56977 0
-0.649984 3.57677 0
-0.649984 3.58377 0
-0.649984 3.59077 0
-0.649984 3.59777 0
-0.649984 3.60477 0
-0.649984 3.61177 0
-0.649984 3.61877 0
-0.649984 3.62577 0
-0.649984 3.63277 0
-0.649984 3.63977 0
-0.649984 3.64677 0
-0.649984 3.65377 0
-0.649984 3.66077 0
-0.649984 3.66777 0
-0.649984 3.67477 0
-0.649984 3.68177 0
-0.649984 3.68877 0
-0.649984 3.69577 0
-0.649984 3.70277 0
-0.649984 3.70977 0
-0.649984 3.71677 0
-0.649984 3.72377 0
-0.649984 3.73077 0
-0.649984 3.73777 0
-0.649984 3.74477 0
-0.649984 3.75177 0
-0.649984 3.75877 0
-0.649984 3.76577 0
-0.649984 3.77277 0
-0.649984 3.77977 0
-0.649984 3.78677 0
-0.649984 3.79377 0
-0.649984 3.80077 0
-0.649984 3.80777 0
-0.649984 3.81477 0
-0.649984 3.82177 0
-0.649984 3.82877 0
-0.649984 3.83577 0
-0.649984 3.84277 0
-0.649984 3.84977 0
-0.649984 3.85677 0
-0.649984 3.86377 0
-0.649984 3.87077 0
-0.649984 3.87777 0
-0.649984 3.88477 0
-0.649984 3.89177 0
-0.649984 3.89877 0
-0.649984 3.90577 0
-0.649984 3.91277 0
-0.649984 3.91977 0
-0.649984 3.92677 0
-0.649984 3.93377 0
-0.649984 3.94077 1
-0.649984 3.94777 1
-0.649984 3.95477 1
-0.649984 3.96177 1
-0.649984 3.96877 1
-0.649984 3.97577 1
-0.649984 3.98277 1
-0.649984 3.98977 1
-0.649984 3.99677 1
-0.649984 4.00377 1
-0.649984 4.01077 1
-0.649984 4.01777 1
-0.649984 4.02477 1
-0.649984 4.03177 0
-0.649984 4.03877 0
-0.649984 4.04577 0
-0.649984 4.05277 0
-0.649984 4.05977 0
-0.649984 4.06677 0
-0.649984 4.07377 0
-0.649984 4.08077 0
-0.649984 4.08777 0
-0.649984 4.09477 0
-0.649984 4.10177 0
-0.649984 4.10877 0
-0.649984 4.11577 0
-0.649984 4.12277 0
-0.649984 4.12977 0
-0.649984 4.13677 0
-0.649984 4.14377 0
-0.649984 4.15077 0
-0.649984 4.15777 0
-0.649984 4.16477 0
-0.649984 4.17177 0
-0.649984 4.17877 0
-0.649984 4.18577 0
-0.649984 4.19277 0
-0.649984 4.19977 0
-0.649984 4.20677 0
-0.649984 4.21377 0
-0.649984 4.22077 0
-0.649984 4.22777 0
-0.649984 4.23477 0
-0.649984 4.24177 0
-0.649984 4.24877 0
-0.649984 4.25577 0
-0.649984 4.26277 0
-0.649984 4.26977 0
-0.649984 4.27677 0
-0.649984 4.28377 0
-0.649984 4.29077 0
-0.642984 3.45077 0
-0.642984 3.45777 0
-0.642984 3.46477 0
-0.642984 3.47177 0
-0.642984 3.47877 0
-0.642984 3.48577 0
-0.642984 3.49277 0
-0.642984 3.49977 0
-0.642984 3.50677 0
-0.642984 3.51377 0
-0.642984 3.52077 0
-0.642984 3.52777 0
-0.642984 3.53477 0
-0.642984 3.54177 0
-0.642984 3.54877 0
-0.642984 3.55577 0
-0.642984 3.56277 0
-0.642984 3.56977 0
-0.642984 3.57677 0
-0.642984 3.58377 0
-0.642984 3.59077 0
-0.642984 3.59777 0
-0.642984 3.60477 0
-0.642984 3.61177 0
-0.642984 3.61877 0
-0.642984 3.62577 0
-0.642984 3.63277 0
-0.642984 3.63977 0
-0.642984 3.64677 0
-0.642984 3.65377 0
-0.642984 3.66077 0
-0.642984 3.66777 0
-0.642984 3.67477 0
-0.642984 3.68177 0
-0.642984 3.68877 0
-0.642984 3.69577 0
-0.642984 3.70277 0
-0.642984 3.70977 0
-0.642984 3.71677 0
-0.642984 3.72377 0
-0.642984 3.73077 0
-0.642984 3.73777 0
-0.642984 3.74477 0
-0.642984 3.75177 0
-0.642984 3.75877 0
-0.642984 3.76577 0
-0.642984 3.77277 0
-0.642984 3.77977 0
-0.642984 3.78677 0
-0.642984 3.79377 0
-0.642984 3.80077 0
-0.642984 3.80777 0
-0.642984 3.81477 0
-0.642984 3.82177 0
-0.642984 3.82877 0
-0.642984 3.83577 0
-0.642984 3.84277 0
-0.642984 3.84977 0
-0.642984 3.85677 0
-0.642984 3.86377 0
-0.642984 3.87077 0
-0.642984 3.87777 0
-0.642984 3.88477 0
-0.642984 3.89177 0
-0.642984 3.89877 0
-0.642984 3.90577 0
-0.642984 3.91277 0
-0.642984 3.91977 0
-0.642984 3.92677 0
-0.642984 3.93377 0
-0.642984 3.94077 0
-0.642984 3.94777 1
-0.642984 3.95477 0
-0.642984 3.96177 0
-0.642984 3.96877 0
-0.642984 3.97577 1
-0.642984 3.98277 0
-0.642984 3.98977 1
-0.642984 3.99677 0
-0.642984 4.00377 0
-0.642984 4.01077 1
-0.642984 4.01777 1
-0.642984 4.02477 0
-0.642984 4.03177 0
-0.642984 4.03877 0
-0.642984 4.04577 0
-0.642984 4.05277 0
-0.642984 4.05977 0
-0.642984 4.06677 0
-0.642984 4.07377 0
-0.642984 4.08077 0
-0.642984 4.08777 0
-0.642984 4.09477 0
-0.642984 4.10177 0
-0.642984 4.10877 0
-0.642984 4.11577 0
-0.642984 4.12277 0
-0.642984 4.12977 0
-0.642984 4.13677 0
-0.642984 4.14377 0
-0.642984 4.15077 0
-0.642984 4.15777 0
-0.642984 4.16477 0
-0.642984 4.17177 0
-0.642984 4.17877 0
-0.642984 4.18577 0
-0.642984 4.19277 0
-0.642984 4.19977 0
-0.642984 4.20677 0
-0.642984 4.21377 0
-0.642984 4.22077 0
-0.642984 4.22777 0
-0.642984 4.23477 0
-0.642984 4.24177 0
-0.642984 4.24877 0
-0.642984 4.25577 0
-0.642984 4.26277 0
-0.642984 4.26977 0
-0.642984 4.27677 0
-0.642984 4.28377 0
-0.642984 4.29077 0
-0.635984 3.45077 0
-0.635984 3.45777 0
-0.635984 3.46477 0
-0.635984 3.47177 0
-0.635984 3.47877 0
-0.635984 3.48577 0
-0.635984 3.49277 0
-0.635984 3.49977 0
-0.635984 3.50677 0
-0.635984 3.51377 0
-0.635984 3.52077 0
